bucket,createdAt,key,metaData.owner,metaData.size,mime_type,name,objectId,provider,updatedAt,url
lc-gluttony,2021-09-28T04:46:38.388Z,6wvnoH5leFq2/297599180979fb5a7571.mp3/蓝色多瑙河 (舞曲) - Classical Artists.mp3,unknown,3758818,audio/mpeg,蓝色多瑙河 (舞曲) - Classical Artists.mp3,61529e2e6b4e797ba25630b4,s3,2021-09-28T04:46:38.388Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/297599180979fb5a7571.mp3/%E8%93%9D%E8%89%B2%E5%A4%9A%E7%91%99%E6%B2%B3%20%28%E8%88%9E%E6%9B%B2%29%20-%20Classical%20Artists.mp3
lc-gluttony,2021-09-28T04:49:06.308Z,6wvnoH5leFq2/9dd7a1dd755dc429ea99.flac/Young For You - GALA.flac,unknown,26440027,audio/x-flac,Young For You - GALA.flac,61529ec26b4e797ba2563162,s3,2021-09-28T04:49:06.308Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/9dd7a1dd755dc429ea99.flac/Young%20For%20You%20-%20GALA.flac
lc-gluttony,2021-10-25T11:01:23.267Z,6wvnoH5leFq2/qR7Cs1TGwdII6Xwcu34fbOBRn5mV9oM6/Wings of Piano (琴之翼) - V.K克.flac,unknown,36421585,audio/x-flac,Wings of Piano (琴之翼) - V.K克.flac,61768e83a90ab55296940b95,s3,2021-10-25T11:01:23.267Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/qR7Cs1TGwdII6Xwcu34fbOBRn5mV9oM6/Wings%20of%20Piano%20%28%E7%90%B4%E4%B9%8B%E7%BF%BC%29%20-%20V.K%E5%85%8B.flac
lc-gluttony,2021-09-28T04:43:07.768Z,6wvnoH5leFq2/53c3fae95f73f3176623.mp3/蓝色多瑙河 - Johann Strauss II.mp3,unknown,24473391,audio/mpeg,蓝色多瑙河 - Johann Strauss II.mp3,61529d5b5e0db15b17f0fd05,s3,2021-09-28T04:43:07.768Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/53c3fae95f73f3176623.mp3/%E8%93%9D%E8%89%B2%E5%A4%9A%E7%91%99%E6%B2%B3%20-%20Johann%20Strauss%20II.mp3
lc-gluttony,2021-09-27T14:19:36.389Z,6wvnoH5leFq2/H28GIoJ0MINqVYTBV1kVaG5DvEA8eT9I/月光の雲海.m4a,unknown,1869007,audio/mp4,月光の雲海.m4a,6151d2f85e0db15b17f0bf44,s3,2021-09-27T14:19:36.389Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/H28GIoJ0MINqVYTBV1kVaG5DvEA8eT9I/%E6%9C%88%E5%85%89%E3%81%AE%E9%9B%B2%E6%B5%B7.m4a
lc-gluttony,2021-09-27T14:19:33.527Z,6wvnoH5leFq2/5b2RB6v82zlIbDdGWKIy5MN6H29BDD43/十年.mp3,unknown,4857856,audio/mpeg,十年.mp3,6151d2f56b4e797ba255f074,s3,2021-09-27T14:19:33.527Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/5b2RB6v82zlIbDdGWKIy5MN6H29BDD43/%E5%8D%81%E5%B9%B4.mp3
lc-gluttony,2021-10-25T11:00:30.435Z,6wvnoH5leFq2/8mmW5FWYUP3UpYFRSimLq92BL7LKzoNv/Sakura iro no yume - 土岐千尋.flac,unknown,22142491,audio/x-flac,Sakura iro no yume - 土岐千尋.flac,61768e4ea90ab5529694094d,s3,2021-10-25T11:00:30.435Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/8mmW5FWYUP3UpYFRSimLq92BL7LKzoNv/Sakura%20iro%20no%20yume%20-%20%E5%9C%9F%E5%B2%90%E5%8D%83%E5%B0%8B.flac
lc-gluttony,2021-10-25T10:56:44.626Z,6wvnoH5leFq2/17sH3jlpCoCN10lthhJL8bFvMRKdvvcm/Legacy - switchworks.mp3,unknown,5039190,audio/mpeg,Legacy - switchworks.mp3,61768d6ca90ab55296940795,s3,2021-10-25T10:56:44.626Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/17sH3jlpCoCN10lthhJL8bFvMRKdvvcm/Legacy%20-%20switchworks.mp3
lc-gluttony,2021-10-25T10:57:12.948Z,6wvnoH5leFq2/1XMGFIYvkRLC155jhNLDtHMl4JVCkPPQ/Fluquor - onoken.mp3,unknown,9500987,audio/mpeg,Fluquor - onoken.mp3,61768d88a90ab552969407a9,s3,2021-10-25T10:57:12.948Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/1XMGFIYvkRLC155jhNLDtHMl4JVCkPPQ/Fluquor%20-%20onoken.mp3
lc-gluttony,2021-10-25T10:57:32.932Z,6wvnoH5leFq2/esEQuCA8qP4nKn98appQsULfTmpi8no1/Alice good night - ICE BIRD STUDIO、Riin.mp3,unknown,8479528,audio/mpeg,Alice good night - ICE BIRD STUDIO、Riin.mp3,61768d9ca90ab552969407ac,s3,2021-10-25T10:57:32.932Z,https://lc-gluttony.s3.amazonaws.com/6wvnoH5leFq2/esEQuCA8qP4nKn98appQsULfTmpi8no1/Alice%20good%20night%20-%20ICE%20BIRD%20STUDIO%E3%80%81Riin.mp3
